city,rain
Algiers,30
Athens,16
Beirut,35
Berlin,23
Bogota,42
Bombay,71
Cairo,1
Dublin,30
Geneva,34
Havana,48
Lagos,72
La Paz,23
Lima,2
London,23
Madrid,17
Moscow,25
Oslo,27
Paris,22
Rome,30
Vienna,26
